"BehaviorSpace results (NetLogo 6.3.0)"
"3-SmallWorldDiffusion.nlogo"
"experiment 1"
"03/19/2023 17:41:55:179 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","prob-spread-one","rewiring-probability","num-nodes","complex-contagion?","prob-infection","[step]","num-infected"
"487","0.01","0.001","100","true","0.1","28","100"
"485","0.01","0.001","100","true","0.1","30","100"
"489","0.01","0.001","100","true","0.1","27","100"
"490","0.01","0.001","100","true","0.1","29","100"
"488","0.01","0.001","100","true","0.1","33","100"
"491","0.01","0.001","100","true","0.1","27","100"
"495","0.01","0.001","100","true","0.1","28","100"
"494","0.01","0.001","100","true","0.1","29","100"
"493","0.01","0.001","100","true","0.1","29","100"
"492","0.01","0.001","100","true","0.1","28","100"
"496","0.01","0.001","100","true","0.1","28","100"
"497","0.01","0.001","100","true","0.1","30","100"
"498","0.01","0.001","100","true","0.1","28","100"
"499","0.01","0.001","100","true","0.1","27","100"
"500","0.01","0.001","100","true","0.1","29","100"
"503","0.01","0.01","100","true","0.1","29","100"
"502","0.01","0.01","100","true","0.1","29","100"
"504","0.01","0.01","100","true","0.1","41","100"
"501","0.01","0.01","100","true","0.1","90","100"
"507","0.01","0.01","100","true","0.1","36","100"
"509","0.01","0.01","100","true","0.1","51","100"
"506","0.01","0.01","100","true","0.1","68","100"
"505","0.01","0.01","100","true","0.1","34","100"
"510","0.01","0.01","100","true","0.1","34","100"
"508","0.01","0.01","100","true","0.1","61","100"
"511","0.01","0.01","100","true","0.1","49","100"
"512","0.01","0.01","100","true","0.1","28","100"
"513","0.01","0.01","100","true","0.1","37","100"
"514","0.01","0.01","100","true","0.1","40","100"
"516","0.01","0.01","100","true","0.1","42","100"
"515","0.01","0.01","100","true","0.1","51","100"
"518","0.01","0.01","100","true","0.1","30","100"
"519","0.01","0.01","100","true","0.1","27","100"
"517","0.01","0.01","100","true","0.1","137","100"
"520","0.01","0.01","100","true","0.1","70","100"
"523","0.01","0.01","100","true","0.1","41","100"
"522","0.01","0.01","100","true","0.1","59","100"
"524","0.01","0.01","100","true","0.1","30","100"
"521","0.01","0.01","100","true","0.1","74","100"
"525","0.01","0.01","100","true","0.1","34","100"
"527","0.01","0.01","100","true","0.1","38","100"
"526","0.01","0.01","100","true","0.1","48","100"
"528","0.01","0.01","100","true","0.1","32","100"
"529","0.01","0.01","100","true","0.1","30","100"
"530","0.01","0.01","100","true","0.1","31","100"
"532","0.01","0.01","100","true","0.1","38","100"
"531","0.01","0.01","100","true","0.1","39","100"
"533","0.01","0.01","100","true","0.1","27","100"
"534","0.01","0.01","100","true","0.1","38","100"
"535","0.01","0.01","100","true","0.1","46","100"
"536","0.01","0.01","100","true","0.1","29","100"
"537","0.01","0.01","100","true","0.1","29","100"
"538","0.01","0.01","100","true","0.1","31","100"
"539","0.01","0.01","100","true","0.1","45","100"
"541","0.01","0.01","100","true","0.1","26","100"
"540","0.01","0.01","100","true","0.1","39","100"
"543","0.01","0.01","100","true","0.1","43","100"
"544","0.01","0.01","100","true","0.1","62","100"
"542","0.01","0.01","100","true","0.1","53","100"
"545","0.01","0.01","100","true","0.1","28","100"
"546","0.01","0.01","100","true","0.1","60","100"
"547","0.01","0.01","100","true","0.1","46","100"
"548","0.01","0.01","100","true","0.1","48","100"
"551","0.01","0.01","100","true","0.1","28","100"
"550","0.01","0.01","100","true","0.1","34","100"
"549","0.01","0.01","100","true","0.1","81","100"
"554","0.01","0.01","100","true","0.1","32","100"
"552","0.01","0.01","100","true","0.1","39","100"
"555","0.01","0.01","100","true","0.1","31","100"
"553","0.01","0.01","100","true","0.1","73","100"
"556","0.01","0.01","100","true","0.1","39","100"
"558","0.01","0.01","100","true","0.1","48","100"
"560","0.01","0.01","100","true","0.1","29","100"
"559","0.01","0.01","100","true","0.1","48","100"
