"BehaviorSpace results (NetLogo 6.3.0)"
"3-coordination_asymmetric.nlogo"
"experiment 2"
"03/04/2023 16:05:07:339 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","well-mixed","init-norm1","norm1-rarity-cost","norm1-coord-benefit","norm1-prosocial-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"525","false","0.57","0.5","1","1","34","1"
"526","false","0.575","0.5","1","1","29","1"
"528","false","0.575","0.5","1","1","42","1"
"524","false","0.57","0.5","1","1","55","1"
"529","false","0.575","0.5","1","1","45","1"
"532","false","0.58","0.5","1","1","42","1"
"535","false","0.58","0.5","1","1","37","1"
"530","false","0.575","0.5","1","1","55","1"
"533","false","0.58","0.5","1","1","42","1"
"536","false","0.585","0.5","1","1","40","1"
"534","false","0.58","0.5","1","1","45","1"
"537","false","0.585","0.5","1","1","37","1"
"531","false","0.58","0.5","1","1","66","1"
"538","false","0.585","0.5","1","1","42","1"
"541","false","0.59","0.5","1","1","32","1"
"539","false","0.585","0.5","1","1","49","1"
"542","false","0.59","0.5","1","1","36","1"
"543","false","0.59","0.5","1","1","35","1"
"540","false","0.585","0.5","1","1","40","1"
"546","false","0.595","0.5","1","1","30","1"
"544","false","0.59","0.5","1","1","39","1"
"545","false","0.59","0.5","1","1","44","1"
"549","false","0.595","0.5","1","1","38","1"
"553","false","0.6","0.5","1","1","31","1"
"555","false","0.6","0.5","1","1","29","1"
"557","false","0.605","0.5","1","1","28","1"
"552","false","0.6","0.5","1","1","37","1"
"547","false","0.595","0.5","1","1","52","1"
"554","false","0.6","0.5","1","1","39","1"
"548","false","0.595","0.5","1","1","56","1"
"551","false","0.6","0.5","1","1","43","1"
"550","false","0.595","0.5","1","1","40","1"
"558","false","0.605","0.5","1","1","27","1"
"556","false","0.605","0.5","1","1","54","1"
"560","false","0.605","0.5","1","1","30","1"
"562","false","0.61","0.5","1","1","31","1"
"564","false","0.61","0.5","1","1","29","1"
"559","false","0.605","0.5","1","1","42","1"
